HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH3.hmm	216	KNBIHPMI_00006	688	2.5e-60	3	216	68	275	0.9861111111111112
GH3.hmm	216	KNBIHPMI_00010	832	2.7e-55	2	214	583	792	0.9814814814814815
GH43_35.hmm	294	KNBIHPMI_00011	483	6e-104	1	294	2	333	0.9965986394557823
GH1.hmm	429	KNBIHPMI_00012	440	4.2e-150	2	428	3	436	0.993006993006993
GH43_28.hmm	262	KNBIHPMI_00014	569	3.3e-93	1	262	28	297	0.9961832061068703
CBM32.hmm	124	KNBIHPMI_00014	569	1.6e-20	7	109	335	462	0.8225806451612904
GH2.hmm	752	KNBIHPMI_00015	780	3.4e-96	31	522	4	647	0.6529255319148937
GH78.hmm	504	KNBIHPMI_00020	854	6.3e-157	5	504	310	835	0.9900793650793651
GT14.hmm	250	KNBIHPMI_00072	287	6.9e-59	2	239	3	247	0.948
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00073	314	1.2e-37	1	117	6	120	0.6823529411764706
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00074	316	6.5e-41	1	167	3	168	0.9764705882352941
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00077	323	5.1e-32	1	131	7	133	0.7647058823529411
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00078	326	2.9e-40	1	126	8	131	0.7352941176470589
GT4.hmm	160	KNBIHPMI_00079	381	3.3e-27	3	156	197	352	0.95625
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00080	188	8.1e-36	1	127	8	132	0.7411764705882353
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00081	339	9.4e-36	1	125	3	125	0.7294117647058823
GT4.hmm	160	KNBIHPMI_00083	379	8.9e-25	9	123	211	322	0.7125
GT32.hmm	90	KNBIHPMI_00084	251	1.5e-24	2	89	21	99	0.9666666666666667
GT4.hmm	160	KNBIHPMI_00085	360	1.5e-23	20	147	204	327	0.79375
GH13_31.hmm	349	KNBIHPMI_00121	557	1.8e-145	1	348	30	374	0.994269340974212
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00173	312	6.4e-25	1	166	4	166	0.9705882352941176
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00189	876	8.5e-35	1	129	9	139	0.7529411764705882
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00190	327	7.9e-43	1	158	6	156	0.9235294117647059
GH123.hmm	538	KNBIHPMI_00194	539	6.3e-41	105	531	89	533	0.79182156133829
GT4.hmm	160	KNBIHPMI_00215	347	6.2e-21	10	158	169	321	0.925
GH38.hmm	269	KNBIHPMI_00216	827	4.3e-67	1	256	6	261	0.9479553903345725
CE4.hmm	130	KNBIHPMI_00235	497	8.1e-30	9	109	286	388	0.7692307692307693
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00280	317	3.5e-39	1	130	6	134	0.7588235294117647
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00316	252	5.3e-21	3	169	9	188	0.9764705882352941
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00317	233	7e-25	1	164	4	159	0.9588235294117647
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00394	332	1.1e-34	3	132	8	133	0.7588235294117647
GH3.hmm	216	KNBIHPMI_00403	754	2.8e-65	4	215	506	716	0.9768518518518519
GH2.hmm	752	KNBIHPMI_00454	571	2e-88	23	426	14	482	0.535904255319149
GH109.hmm	399	KNBIHPMI_00486	314	9e-22	6	160	2	143	0.38596491228070173
GH109.hmm	399	KNBIHPMI_00537	353	9.9e-31	4	165	2	156	0.40350877192982454
GH5_28.hmm	336	KNBIHPMI_00552	491	2e-47	2	189	13	203	0.5565476190476191
GH5_54.hmm	263	KNBIHPMI_00553	422	4.4e-78	1	263	95	362	0.9961977186311787
GH130.hmm	296	KNBIHPMI_00564	316	2.4e-86	1	296	25	310	0.9966216216216216
GH38.hmm	269	KNBIHPMI_00609	1036	4.6e-73	2	256	254	512	0.9442379182156134
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00694	878	3.6e-33	1	125	7	133	0.7294117647058823
GT2_Glycos_transf_2.hmm	170	KNBIHPMI_00804	320	4.5e-29	2	168	6	174	0.9764705882352941
GH33.hmm	342	KNBIHPMI_00820	318	3.1e-29	15	330	11	309	0.9210526315789473
CE3.hmm	194	KNBIHPMI_00856	214	3e-18	2	193	2	208	0.9845360824742269
GH89.hmm	663	KNBIHPMI_00876	706	1.3e-177	2	661	36	694	0.9939668174962293
CE4.hmm	130	KNBIHPMI_00920	340	5.2e-32	4	125	148	271	0.9307692307692308
GH27.hmm	229	KNBIHPMI_00932	163	2.9e-32	112	227	1	137	0.5021834061135371
GH33.hmm	342	KNBIHPMI_01019	350	9.7e-28	16	328	44	340	0.9122807017543859
GH3.hmm	216	KNBIHPMI_01053	727	5.7e-50	48	216	1	164	0.7777777777777778
CE3.hmm	194	KNBIHPMI_01135	207	5.3e-17	1	193	4	202	0.9896907216494846
GH30_4.hmm	484	KNBIHPMI_01137	504	1.8e-85	2	484	39	502	0.9958677685950413
GH20.hmm	337	KNBIHPMI_01139	242	3.6e-49	154	336	1	176	0.5400593471810089
GH25.hmm	177	KNBIHPMI_01166	354	4.2e-37	17	177	3	161	0.903954802259887
GH4.hmm	179	KNBIHPMI_01229	439	3.8e-59	1	175	2	182	0.9720670391061452
