Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
KNBIHPMI_00006	GH3(68-275)	-	-	1
KNBIHPMI_00010	GH3(583-792)	-	-	1
KNBIHPMI_00011	GH43_35(2-333)	-	-	1
KNBIHPMI_00012	GH1(3-436)	-	-	1
KNBIHPMI_00014	GH43_28(28-297)+CBM32(335-462)	-	-	1
KNBIHPMI_00015	GH2(4-647)	-	-	1
KNBIHPMI_00020	GH78(310-835)	-	-	1
KNBIHPMI_00072	GT14(3-247)	-	-	1
KNBIHPMI_00073	GT2_Glycos_transf_2(6-120)	-	-	1
KNBIHPMI_00074	GT2_Glycos_transf_2(3-168)	-	-	1
KNBIHPMI_00077	GT2_Glycos_transf_2(7-133)	-	-	1
KNBIHPMI_00078	GT2_Glycos_transf_2(8-131)	-	-	1
KNBIHPMI_00079	GT4(197-352)	-	-	1
KNBIHPMI_00080	GT2_Glycos_transf_2(8-132)	-	-	1
KNBIHPMI_00081	GT2_Glycos_transf_2(3-125)	-	-	1
KNBIHPMI_00083	GT4(211-322)	-	-	1
KNBIHPMI_00084	GT32(21-99)	-	-	1
KNBIHPMI_00085	GT4(204-327)	-	-	1
KNBIHPMI_00121	GH13_31(30-374)	-	-	1
KNBIHPMI_00173	GT2_Glycos_transf_2(4-166)	-	-	1
KNBIHPMI_00189	GT2_Glycos_transf_2(9-139)	-	-	1
KNBIHPMI_00190	GT2_Glycos_transf_2(6-156)	-	-	1
KNBIHPMI_00194	GH123(89-533)	-	-	1
KNBIHPMI_00215	GT4(169-321)	-	-	1
KNBIHPMI_00216	GH38(6-261)	-	-	1
KNBIHPMI_00235	CE4(286-388)	-	-	1
KNBIHPMI_00280	GT2_Glycos_transf_2(6-134)	-	-	1
KNBIHPMI_00316	GT2_Glycos_transf_2(9-188)	-	-	1
KNBIHPMI_00317	GT2_Glycos_transf_2(4-159)	-	-	1
KNBIHPMI_00394	GT2_Glycos_transf_2(8-133)	-	-	1
KNBIHPMI_00403	GH3(506-716)	-	-	1
KNBIHPMI_00454	GH2(14-482)	-	-	1
KNBIHPMI_00486	GH109(2-143)	-	-	1
KNBIHPMI_00537	GH109(2-156)	-	-	1
KNBIHPMI_00552	GH5_28(13-203)	-	-	1
KNBIHPMI_00553	GH5_54(95-362)	-	-	1
KNBIHPMI_00564	GH130(25-310)	-	-	1
KNBIHPMI_00609	GH38(254-512)	-	-	1
KNBIHPMI_00694	GT2_Glycos_transf_2(7-133)	-	-	1
KNBIHPMI_00804	GT2_Glycos_transf_2(6-174)	-	-	1
KNBIHPMI_00820	GH33(11-309)	-	-	1
KNBIHPMI_00856	CE3(2-208)	-	-	1
KNBIHPMI_00876	GH89(36-694)	-	-	1
KNBIHPMI_00920	CE4(148-271)	-	-	1
KNBIHPMI_00932	GH27(1-137)	-	-	1
KNBIHPMI_01019	GH33(44-340)	-	-	1
KNBIHPMI_01053	GH3(1-164)	-	-	1
KNBIHPMI_01135	CE3(4-202)	-	-	1
KNBIHPMI_01137	GH30_4(39-502)	-	-	1
KNBIHPMI_01139	GH20(1-176)	-	-	1
KNBIHPMI_01166	GH25(3-161)	-	-	1
KNBIHPMI_01229	GH4(2-182)	-	-	1
KNBIHPMI_01245	CE9(3-369)	-	-	1
KNBIHPMI_01277	GH109(2-171)	-	-	1
KNBIHPMI_01284	GT35(2-321)	-	-	1
KNBIHPMI_01323	GH78(34-538)	-	-	1
KNBIHPMI_01348	GH27(1-101)	-	-	1
KNBIHPMI_01433	GH29(1-266)	-	-	1
KNBIHPMI_01529	GH127(1-198)	-	-	1
