locus_tag	ftype	length_bp	gene	EC_number	COG	product
CIHDEAIJ_00001	gene	318				
CIHDEAIJ_00001	mRNA	318				
CIHDEAIJ_00001	CDS	318				hypothetical protein
CIHDEAIJ_00002	gene	462	mntR			
CIHDEAIJ_00002	mRNA	462	mntR			
CIHDEAIJ_00002	CDS	462	mntR			HTH-type transcriptional regulator MntR
CIHDEAIJ_00003	gene	753	sufC			
CIHDEAIJ_00003	mRNA	753	sufC			
CIHDEAIJ_00003	CDS	753	sufC		COG0396	Vegetative protein 296
CIHDEAIJ_00004	gene	1401				
CIHDEAIJ_00004	mRNA	1401				
CIHDEAIJ_00004	CDS	1401				hypothetical protein
CIHDEAIJ_00005	gene	1065				
CIHDEAIJ_00005	mRNA	1065				
CIHDEAIJ_00005	CDS	1065				hypothetical protein
CIHDEAIJ_00006	gene	1173	sufS			
CIHDEAIJ_00006	mRNA	1173	sufS			
CIHDEAIJ_00006	CDS	1173	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
CIHDEAIJ_00007	gene	219	sufU			
CIHDEAIJ_00007	mRNA	219	sufU			
CIHDEAIJ_00007	CDS	219	sufU	2.-.-.-	COG0822	Zinc-dependent sulfurtransferase SufU
CIHDEAIJ_00008	gene	252				
CIHDEAIJ_00008	mRNA	252				
CIHDEAIJ_00008	CDS	252				hypothetical protein
CIHDEAIJ_00009	gene	186				
CIHDEAIJ_00009	mRNA	186				
CIHDEAIJ_00009	CDS	186				hypothetical protein
CIHDEAIJ_00010	gene	156				
CIHDEAIJ_00010	mRNA	156				
CIHDEAIJ_00010	CDS	156				hypothetical protein
CIHDEAIJ_00011	gene	2496				
CIHDEAIJ_00011	mRNA	2496				
CIHDEAIJ_00011	CDS	2496				hypothetical protein
CIHDEAIJ_00012	gene	531	pth			
CIHDEAIJ_00012	mRNA	531	pth			
CIHDEAIJ_00012	CDS	531	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
CIHDEAIJ_00013	gene	447				
CIHDEAIJ_00013	mRNA	447				
CIHDEAIJ_00013	CDS	447				hypothetical protein
CIHDEAIJ_00014	gene	267	rpmA			
CIHDEAIJ_00014	mRNA	267	rpmA			
CIHDEAIJ_00014	CDS	267	rpmA			50S ribosomal protein L27
CIHDEAIJ_00015	gene	1629				
CIHDEAIJ_00015	mRNA	1629				
CIHDEAIJ_00015	CDS	1629		3.1.-.-	COG1236	Ribonuclease
CIHDEAIJ_00016	gene	1014	trpS2			
CIHDEAIJ_00016	mRNA	1014	trpS2			
CIHDEAIJ_00016	CDS	1014	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
CIHDEAIJ_00017	gene	1269	obg			
CIHDEAIJ_00017	mRNA	1269	obg			
CIHDEAIJ_00017	CDS	1269	obg	3.6.5.-		GTPase Obg
CIHDEAIJ_00018	gene	153				
CIHDEAIJ_00018	mRNA	153				
CIHDEAIJ_00018	CDS	153				hypothetical protein
CIHDEAIJ_00019	gene	681				
CIHDEAIJ_00019	mRNA	681				
CIHDEAIJ_00019	CDS	681				hypothetical protein
CIHDEAIJ_00020	gene	1476				
CIHDEAIJ_00020	mRNA	1476				
CIHDEAIJ_00020	CDS	1476				hypothetical protein
CIHDEAIJ_00021	gene	1236				
CIHDEAIJ_00021	mRNA	1236				
CIHDEAIJ_00021	CDS	1236				hypothetical protein
CIHDEAIJ_00022	gene	1287				
CIHDEAIJ_00022	mRNA	1287				
CIHDEAIJ_00022	CDS	1287				hypothetical protein
CIHDEAIJ_00023	gene	420				
CIHDEAIJ_00023	mRNA	420				
CIHDEAIJ_00023	CDS	420				hypothetical protein
CIHDEAIJ_00024	gene	414				
CIHDEAIJ_00024	mRNA	414				
CIHDEAIJ_00024	CDS	414				hypothetical protein
CIHDEAIJ_00025	gene	984				
CIHDEAIJ_00025	mRNA	984				
CIHDEAIJ_00025	CDS	984				hypothetical protein
CIHDEAIJ_00026	gene	492				
CIHDEAIJ_00026	mRNA	492				
CIHDEAIJ_00026	CDS	492				hypothetical protein
CIHDEAIJ_00027	gene	387				
CIHDEAIJ_00027	mRNA	387				
CIHDEAIJ_00027	CDS	387				hypothetical protein
CIHDEAIJ_00028	gene	2061				
CIHDEAIJ_00028	mRNA	2061				
CIHDEAIJ_00028	CDS	2061				hypothetical protein
CIHDEAIJ_00029	gene	1899				
CIHDEAIJ_00029	mRNA	1899				
CIHDEAIJ_00029	CDS	1899				hypothetical protein
CIHDEAIJ_00030	gene	816				
CIHDEAIJ_00030	mRNA	816				
CIHDEAIJ_00030	CDS	816				hypothetical protein
CIHDEAIJ_00031	gene	717				
CIHDEAIJ_00031	mRNA	717				
CIHDEAIJ_00031	CDS	717				hypothetical protein
CIHDEAIJ_00032	gene	822				
CIHDEAIJ_00032	mRNA	822				
CIHDEAIJ_00032	CDS	822				hypothetical protein
CIHDEAIJ_00033	gene	732				
CIHDEAIJ_00033	mRNA	732				
CIHDEAIJ_00033	CDS	732				hypothetical protein
CIHDEAIJ_00034	gene	723	ybhF			
CIHDEAIJ_00034	mRNA	723	ybhF			
CIHDEAIJ_00034	CDS	723	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
CIHDEAIJ_00035	gene	204				
CIHDEAIJ_00035	mRNA	204				
CIHDEAIJ_00035	CDS	204				hypothetical protein
CIHDEAIJ_00036	gene	2607	mgtA			
CIHDEAIJ_00036	mRNA	2607	mgtA			
CIHDEAIJ_00036	CDS	2607	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
CIHDEAIJ_00037	gene	771	map			
CIHDEAIJ_00037	mRNA	771	map			
CIHDEAIJ_00037	CDS	771	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
CIHDEAIJ_00038	gene	621	adk			
CIHDEAIJ_00038	mRNA	621	adk			
CIHDEAIJ_00038	CDS	621	adk	2.7.4.3		Adenylate kinase
CIHDEAIJ_00039	gene	618				
CIHDEAIJ_00039	mRNA	618				
CIHDEAIJ_00039	CDS	618				hypothetical protein
CIHDEAIJ_00040	gene	693				
CIHDEAIJ_00040	mRNA	693				
CIHDEAIJ_00040	CDS	693				hypothetical protein
CIHDEAIJ_00041	gene	123				
CIHDEAIJ_00041	mRNA	123				
CIHDEAIJ_00041	CDS	123				hypothetical protein
CIHDEAIJ_00042	gene	849	ywlC			
CIHDEAIJ_00042	mRNA	849	ywlC			
CIHDEAIJ_00042	CDS	849	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
CIHDEAIJ_00043	gene	585				
CIHDEAIJ_00043	mRNA	585				
CIHDEAIJ_00043	CDS	585				hypothetical protein
CIHDEAIJ_00044	gene	336	hpf			
CIHDEAIJ_00044	mRNA	336	hpf			
CIHDEAIJ_00044	CDS	336	hpf		COG1544	Ribosome hibernation promotion factor
CIHDEAIJ_00045	gene	1263				
CIHDEAIJ_00045	mRNA	1263				
CIHDEAIJ_00045	CDS	1263				hypothetical protein
CIHDEAIJ_00046	gene	96				
CIHDEAIJ_00046	mRNA	96				
CIHDEAIJ_00046	CDS	96				hypothetical protein
CIHDEAIJ_00047	gene	369				
CIHDEAIJ_00047	mRNA	369				
CIHDEAIJ_00047	CDS	369				hypothetical protein
CIHDEAIJ_00048	gene	76				
CIHDEAIJ_00048	mRNA	76				
CIHDEAIJ_00048	tRNA	76				tRNA-Thr(cgt)
CIHDEAIJ_00049	gene	219	infA			
CIHDEAIJ_00049	mRNA	219	infA			
CIHDEAIJ_00049	CDS	219	infA		COG0361	Translation initiation factor IF-1
CIHDEAIJ_00050	gene	114	rpmJ			
CIHDEAIJ_00050	mRNA	114	rpmJ			
CIHDEAIJ_00050	CDS	114	rpmJ			50S ribosomal protein L36
CIHDEAIJ_00051	gene	372	rpsM			
CIHDEAIJ_00051	mRNA	372	rpsM			
CIHDEAIJ_00051	CDS	372	rpsM		COG0099	30S ribosomal protein S13
CIHDEAIJ_00052	gene	393	rpsK			
CIHDEAIJ_00052	mRNA	393	rpsK			
CIHDEAIJ_00052	CDS	393	rpsK			30S ribosomal protein S11
CIHDEAIJ_00053	gene	630	rpsD			
CIHDEAIJ_00053	mRNA	630	rpsD			
CIHDEAIJ_00053	CDS	630	rpsD		COG0522	30S ribosomal protein S4
CIHDEAIJ_00054	gene	948	rpoA			
CIHDEAIJ_00054	mRNA	948	rpoA			
CIHDEAIJ_00054	CDS	948	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
CIHDEAIJ_00055	gene	525	rplQ			
CIHDEAIJ_00055	mRNA	525	rplQ			
CIHDEAIJ_00055	CDS	525	rplQ			50S ribosomal protein L17
CIHDEAIJ_00056	gene	792				
CIHDEAIJ_00056	mRNA	792				
CIHDEAIJ_00056	CDS	792				hypothetical protein
CIHDEAIJ_00057	gene	1191	tmcAL			
CIHDEAIJ_00057	mRNA	1191	tmcAL			
CIHDEAIJ_00057	CDS	1191	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
CIHDEAIJ_00058	gene	447	rnhA			
CIHDEAIJ_00058	mRNA	447	rnhA			
CIHDEAIJ_00058	CDS	447	rnhA	3.1.26.4	COG0328	Ribonuclease HI
CIHDEAIJ_00059	gene	609				
CIHDEAIJ_00059	mRNA	609				
CIHDEAIJ_00059	CDS	609				hypothetical protein
CIHDEAIJ_00060	gene	888	xerD_1			
CIHDEAIJ_00060	mRNA	888	xerD_1			
CIHDEAIJ_00060	CDS	888	xerD_1			Tyrosine recombinase XerD
CIHDEAIJ_00061	gene	930				
CIHDEAIJ_00061	mRNA	930				
CIHDEAIJ_00061	CDS	930				hypothetical protein
CIHDEAIJ_00062	gene	735	srtB			
CIHDEAIJ_00062	mRNA	735	srtB			
CIHDEAIJ_00062	CDS	735	srtB	3.4.22.-	COG4509	Sortase B
CIHDEAIJ_00063	gene	804				
CIHDEAIJ_00063	mRNA	804				
CIHDEAIJ_00063	CDS	804				hypothetical protein
CIHDEAIJ_00064	gene	306	spoIIAA			
CIHDEAIJ_00064	mRNA	306	spoIIAA			
CIHDEAIJ_00064	CDS	306	spoIIAA		COG1366	Anti-sigma F factor antagonist
CIHDEAIJ_00065	gene	261				
CIHDEAIJ_00065	mRNA	261				
CIHDEAIJ_00065	CDS	261				hypothetical protein
CIHDEAIJ_00066	gene	324				
CIHDEAIJ_00066	mRNA	324				
CIHDEAIJ_00066	CDS	324				hypothetical protein
CIHDEAIJ_00067	gene	873				
CIHDEAIJ_00067	mRNA	873				
CIHDEAIJ_00067	CDS	873				hypothetical protein
CIHDEAIJ_00068	gene	552				
CIHDEAIJ_00068	mRNA	552				
CIHDEAIJ_00068	CDS	552				hypothetical protein
CIHDEAIJ_00069	gene	1116				
CIHDEAIJ_00069	mRNA	1116				
CIHDEAIJ_00069	CDS	1116				hypothetical protein
CIHDEAIJ_00070	gene	261				
CIHDEAIJ_00070	mRNA	261				
CIHDEAIJ_00070	CDS	261				hypothetical protein
CIHDEAIJ_00071	gene	1293				
CIHDEAIJ_00071	mRNA	1293				
CIHDEAIJ_00071	CDS	1293				hypothetical protein
CIHDEAIJ_00072	gene	2025				
CIHDEAIJ_00072	mRNA	2025				
CIHDEAIJ_00072	CDS	2025				hypothetical protein
CIHDEAIJ_00073	gene	1578				
CIHDEAIJ_00073	mRNA	1578				
CIHDEAIJ_00073	CDS	1578				hypothetical protein
CIHDEAIJ_00074	gene	168				
CIHDEAIJ_00074	mRNA	168				
CIHDEAIJ_00074	CDS	168				hypothetical protein
CIHDEAIJ_00075	gene	228				
CIHDEAIJ_00075	mRNA	228				
CIHDEAIJ_00075	CDS	228				hypothetical protein
CIHDEAIJ_00076	gene	669				
CIHDEAIJ_00076	mRNA	669				
CIHDEAIJ_00076	CDS	669				hypothetical protein
CIHDEAIJ_00077	gene	636				
CIHDEAIJ_00077	mRNA	636				
CIHDEAIJ_00077	CDS	636				hypothetical protein
CIHDEAIJ_00078	gene	669				
CIHDEAIJ_00078	mRNA	669				
CIHDEAIJ_00078	CDS	669				hypothetical protein
CIHDEAIJ_00079	gene	654	bcrA_1			
CIHDEAIJ_00079	mRNA	654	bcrA_1			
CIHDEAIJ_00079	CDS	654	bcrA_1			Bacitracin transport ATP-binding protein BcrA
CIHDEAIJ_00080	gene	657				
CIHDEAIJ_00080	mRNA	657				
CIHDEAIJ_00080	CDS	657				hypothetical protein
CIHDEAIJ_00081	gene	1224				
CIHDEAIJ_00081	mRNA	1224				
CIHDEAIJ_00081	CDS	1224				hypothetical protein
CIHDEAIJ_00082	gene	711	btsR			
CIHDEAIJ_00082	mRNA	711	btsR			
