HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT5.hmm	472	LKDPMFFB_00011	478	1.5e-184	1	471	3	476	0.9957627118644068
CE4.hmm	130	LKDPMFFB_00024	490	8e-26	7	124	300	421	0.9
GT4.hmm	160	LKDPMFFB_00154	378	1.7e-23	4	148	194	340	0.9
GT4.hmm	160	LKDPMFFB_00156	379	2.8e-33	12	159	207	352	0.91875
GT4.hmm	160	LKDPMFFB_00157	399	5.4e-33	2	156	205	365	0.9625
GH13_9.hmm	301	LKDPMFFB_00183	672	1.4e-40	97	297	334	530	0.6644518272425249
GT2_Glycos_transf_2.hmm	170	LKDPMFFB_00189	320	2.1e-31	1	167	5	167	0.9764705882352941
GT5.hmm	472	LKDPMFFB_00209	605	5.5e-178	2	470	125	598	0.9915254237288136
CBM48.hmm	76	LKDPMFFB_00271	639	5.2e-18	2	70	27	112	0.8947368421052632
GH13_9.hmm	301	LKDPMFFB_00271	639	4e-157	1	301	183	483	0.9966777408637874
CE4.hmm	130	LKDPMFFB_00326	325	3.5e-23	7	113	122	229	0.8153846153846154
GT51.hmm	177	LKDPMFFB_00376	717	2.2e-65	12	176	82	246	0.9265536723163842
CBM41.hmm	102	LKDPMFFB_00436	874	4.3e-18	2	95	54	147	0.9117647058823529
GH13_14.hmm	289	LKDPMFFB_00436	874	7e-110	1	289	421	725	0.9965397923875432
GH13.hmm	299	LKDPMFFB_00603	433	6.8e-48	12	290	25	316	0.9297658862876255
GH18.hmm	296	LKDPMFFB_00623	618	5.8e-32	72	283	374	608	0.7128378378378378
GH3.hmm	216	LKDPMFFB_00628	806	8.9e-68	5	215	560	769	0.9722222222222222
GT4.hmm	160	LKDPMFFB_00658	174	9.4e-26	12	158	2	146	0.9125
GT4.hmm	160	LKDPMFFB_00660	372	2.8e-25	7	117	200	308	0.6875
GT32.hmm	90	LKDPMFFB_00662	315	3.8e-22	1	84	100	178	0.9222222222222223
GT2_Glycos_transf_2.hmm	170	LKDPMFFB_00663	305	3.4e-21	2	103	7	110	0.5941176470588235
GT2_Glycos_transf_2.hmm	170	LKDPMFFB_00666	340	5.1e-35	1	117	7	121	0.6823529411764706
CE4.hmm	130	LKDPMFFB_00719	223	3.9e-33	6	112	38	146	0.8153846153846154
GH2.hmm	752	LKDPMFFB_00746	1012	1.2e-214	19	750	34	895	0.9720744680851063
GT51.hmm	177	LKDPMFFB_00762	877	1.2e-61	9	176	91	265	0.943502824858757
GH13_20.hmm	300	LKDPMFFB_00821	436	6.4e-79	7	297	35	322	0.9666666666666667
GH13_11.hmm	351	LKDPMFFB_00931	592	1.3e-48	135	351	240	428	0.6153846153846154
GH13_36.hmm	314	LKDPMFFB_00936	543	3.4e-98	1	314	71	394	0.9968152866242038
GT2_Glycos_transf_2.hmm	170	LKDPMFFB_00944	239	2e-28	2	166	9	166	0.9647058823529412
GT2_Glycos_transf_2.hmm	170	LKDPMFFB_00946	259	3.7e-16	3	158	9	165	0.9117647058823529
GT28.hmm	157	LKDPMFFB_00965	275	6.2e-40	2	149	109	257	0.9363057324840764
GT35.hmm	674	LKDPMFFB_00967	816	1.4e-284	1	674	95	810	0.9985163204747775
GT2_Glycos_transf_2.hmm	170	LKDPMFFB_01028	339	2.6e-29	1	107	6	110	0.6235294117647059
GH13_39.hmm	316	LKDPMFFB_01061	309	8.2e-43	155	316	2	184	0.509493670886076
GT35.hmm	674	LKDPMFFB_01160	295	4.1e-102	393	673	2	294	0.41543026706231456
GH31.hmm	427	LKDPMFFB_01252	655	5.4e-134	2	425	132	610	0.990632318501171
GT111.hmm	217	LKDPMFFB_01330	259	1e-87	1	216	5	220	0.9907834101382489
GT2_Glycos_transf_2.hmm	170	LKDPMFFB_01334	317	1.5e-26	2	167	7	174	0.9705882352941176
GH13_9.hmm	301	LKDPMFFB_01406	592	2.9e-119	1	301	161	450	0.9966777408637874
GT2_Glycos_transf_2.hmm	170	LKDPMFFB_01454	454	1.9e-24	1	146	62	196	0.8529411764705882
GT2_Glycos_transf_2.hmm	170	LKDPMFFB_01455	321	2.7e-29	1	170	5	178	0.9941176470588236
CE4.hmm	130	LKDPMFFB_01487	255	1e-29	3	124	48	171	0.9307692307692308
GT4.hmm	160	LKDPMFFB_01502	338	2e-28	5	152	156	299	0.91875
GH133.hmm	372	LKDPMFFB_01526	679	1.3e-117	4	372	309	672	0.989247311827957
GH77.hmm	494	LKDPMFFB_01588	493	3.6e-173	1	491	8	488	0.9919028340080972
CBM34.hmm	120	LKDPMFFB_01623	574	4.4e-16	2	100	7	113	0.8166666666666667
GH13_20.hmm	300	LKDPMFFB_01623	574	4.8e-117	1	300	172	471	0.9966666666666667
GH13_28.hmm	266	LKDPMFFB_01687	699	5.3e-99	1	265	85	361	0.9924812030075187
CE4.hmm	130	LKDPMFFB_01917	318	8.9e-21	4	109	106	216	0.8076923076923077
CE4.hmm	130	LKDPMFFB_01962	405	1.8e-16	6	125	217	338	0.9153846153846154
