HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT66.hmm	693	DEBFJKAO_00183	922	1.5e-144	2	682	22	798	0.9812409812409812
GT4.hmm	160	DEBFJKAO_00449	359	2.4e-40	2	157	188	336	0.96875
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_00524	308	6.5e-17	2	166	5	159	0.9647058823529412
GT81.hmm	293	DEBFJKAO_00527	568	2.5e-56	16	264	19	243	0.8464163822525598
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_00531	777	6.5e-25	1	133	12	150	0.7764705882352941
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_00695	367	2.9e-29	1	130	6	137	0.7588235294117647
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_00699	340	3.6e-33	1	118	5	124	0.6882352941176471
AA3.hmm	618	DEBFJKAO_00753	399	2.7e-31	92	398	2	398	0.49514563106796117
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_00956	369	7.2e-31	1	120	6	127	0.7
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_00959	512	5.1e-21	1	133	139	270	0.7764705882352941
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_00960	471	1.9e-33	1	124	6	130	0.7235294117647059
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_00961	379	2.1e-38	1	144	5	146	0.8411764705882353
GH109.hmm	399	DEBFJKAO_01087	439	2.9e-16	4	161	128	271	0.39348370927318294
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_01112	634	1e-26	1	117	4	111	0.6823529411764706
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_01121	347	9.2e-32	1	132	6	139	0.7705882352941177
GH109.hmm	399	DEBFJKAO_01165	318	9e-26	4	161	2	149	0.39348370927318294
CE1.hmm	227	DEBFJKAO_01277	263	2.9e-43	2	223	11	261	0.973568281938326
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_01363	1193	7.8e-37	1	168	7	178	0.9823529411764705
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_01363	1193	7.1e-31	1	141	338	476	0.8235294117647058
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_01437	285	1.3e-27	1	128	4	129	0.7470588235294118
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_01438	321	5.9e-26	1	169	4	178	0.9882352941176471
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_01439	320	6.3e-30	1	102	7	108	0.5941176470588235
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_01468	97	2.2e-22	1	78	5	82	0.45294117647058824
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_01473	240	5.5e-29	2	169	19	179	0.9823529411764705
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_01532	533	1.7e-24	1	125	136	257	0.7294117647058823
GT2_Glycos_transf_2.hmm	170	DEBFJKAO_01534	348	1.2e-24	1	123	6	129	0.7176470588235294
GH154.hmm	348	DEBFJKAO_01554	391	1.7e-103	1	345	15	368	0.9885057471264368
GH154.hmm	348	DEBFJKAO_01555	402	4.3e-86	2	345	27	379	0.985632183908046
