locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHOBLNMB_00001	gene	750				
EHOBLNMB_00001	mRNA	750				
EHOBLNMB_00001	CDS	750				hypothetical protein
EHOBLNMB_00002	gene	1365	murJ			
EHOBLNMB_00002	mRNA	1365	murJ			
EHOBLNMB_00002	CDS	1365	murJ			lipid II flippase MurJ
EHOBLNMB_00003	gene	567				
EHOBLNMB_00003	mRNA	567				
EHOBLNMB_00003	CDS	567				hypothetical protein
EHOBLNMB_00004	gene	1104				
EHOBLNMB_00004	mRNA	1104				
EHOBLNMB_00004	CDS	1104				hypothetical protein
EHOBLNMB_00005	gene	2715				
EHOBLNMB_00005	mRNA	2715				
EHOBLNMB_00005	CDS	2715				hypothetical protein
EHOBLNMB_00006	gene	543				
EHOBLNMB_00006	mRNA	543				
EHOBLNMB_00006	CDS	543				hypothetical protein
EHOBLNMB_00007	gene	477				
EHOBLNMB_00007	mRNA	477				
EHOBLNMB_00007	CDS	477				hypothetical protein
EHOBLNMB_00008	gene	2610	GFM1			
EHOBLNMB_00008	mRNA	2610	GFM1			
EHOBLNMB_00008	CDS	2610	GFM1			Elongation factor G, mitochondrial
EHOBLNMB_00009	gene	336				
EHOBLNMB_00009	mRNA	336				
EHOBLNMB_00009	CDS	336				hypothetical protein
EHOBLNMB_00010	gene	579				
EHOBLNMB_00010	mRNA	579				
EHOBLNMB_00010	CDS	579				hypothetical protein
EHOBLNMB_00011	gene	513				
EHOBLNMB_00011	mRNA	513				
EHOBLNMB_00011	CDS	513				hypothetical protein
EHOBLNMB_00012	gene	255				
EHOBLNMB_00012	mRNA	255				
EHOBLNMB_00012	CDS	255				hypothetical protein
EHOBLNMB_00013	gene	516				
EHOBLNMB_00013	mRNA	516				
EHOBLNMB_00013	CDS	516				hypothetical protein
EHOBLNMB_00014	gene	459				
EHOBLNMB_00014	mRNA	459				
EHOBLNMB_00014	CDS	459				hypothetical protein
EHOBLNMB_00015	gene	411	def			
EHOBLNMB_00015	mRNA	411	def			
EHOBLNMB_00015	CDS	411	def	3.5.1.88		Peptide deformylase
EHOBLNMB_00016	gene	717				
EHOBLNMB_00016	mRNA	717				
EHOBLNMB_00016	CDS	717				hypothetical protein
EHOBLNMB_00017	gene	483	sigM			
EHOBLNMB_00017	mRNA	483	sigM			
EHOBLNMB_00017	CDS	483	sigM		COG1595	ECF RNA polymerase sigma factor SigM
EHOBLNMB_00018	gene	192				
EHOBLNMB_00018	mRNA	192				
EHOBLNMB_00018	CDS	192				hypothetical protein
EHOBLNMB_00019	gene	450				
EHOBLNMB_00019	mRNA	450				
EHOBLNMB_00019	CDS	450			COG0789	putative HTH-type transcriptional regulator
EHOBLNMB_00020	gene	540				
EHOBLNMB_00020	mRNA	540				
EHOBLNMB_00020	CDS	540				hypothetical protein
EHOBLNMB_00021	gene	840				
EHOBLNMB_00021	mRNA	840				
EHOBLNMB_00021	CDS	840				hypothetical protein
EHOBLNMB_00022	gene	570				
EHOBLNMB_00022	mRNA	570				
EHOBLNMB_00022	CDS	570				hypothetical protein
EHOBLNMB_00023	gene	705	azoR			
EHOBLNMB_00023	mRNA	705	azoR			
EHOBLNMB_00023	CDS	705	azoR	1.7.1.17		FMN-dependent NADH-azoreductase
EHOBLNMB_00024	gene	456	fabZ_1			
EHOBLNMB_00024	mRNA	456	fabZ_1			
EHOBLNMB_00024	CDS	456	fabZ_1	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
EHOBLNMB_00025	gene	735	fabG_1			
EHOBLNMB_00025	mRNA	735	fabG_1			
EHOBLNMB_00025	CDS	735	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EHOBLNMB_00026	gene	2199				
EHOBLNMB_00026	mRNA	2199				
EHOBLNMB_00026	CDS	2199				hypothetical protein
EHOBLNMB_00027	gene	243	acpP_1			
EHOBLNMB_00027	mRNA	243	acpP_1			
EHOBLNMB_00027	CDS	243	acpP_1			Acyl carrier protein
EHOBLNMB_00028	gene	687	aas			
EHOBLNMB_00028	mRNA	687	aas			
EHOBLNMB_00028	CDS	687	aas	6.2.1.20		Bifunctional protein Aas
EHOBLNMB_00029	gene	1062	trpS2			
EHOBLNMB_00029	mRNA	1062	trpS2			
EHOBLNMB_00029	CDS	1062	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
EHOBLNMB_00030	gene	1023				
EHOBLNMB_00030	mRNA	1023				
EHOBLNMB_00030	CDS	1023				hypothetical protein
EHOBLNMB_00031	gene	1314				
EHOBLNMB_00031	mRNA	1314				
EHOBLNMB_00031	CDS	1314				hypothetical protein
EHOBLNMB_00032	gene	723	ypdB			
EHOBLNMB_00032	mRNA	723	ypdB			
EHOBLNMB_00032	CDS	723	ypdB		COG3279	Transcriptional regulatory protein YpdB
EHOBLNMB_00033	gene	2031	yjcS			
EHOBLNMB_00033	mRNA	2031	yjcS			
EHOBLNMB_00033	CDS	2031	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
EHOBLNMB_00034	gene	546				
EHOBLNMB_00034	mRNA	546				
EHOBLNMB_00034	CDS	546				hypothetical protein
EHOBLNMB_00035	gene	75				
EHOBLNMB_00035	mRNA	75				
EHOBLNMB_00035	tRNA	75				tRNA-Cys(gca)
EHOBLNMB_00036	gene	76				
EHOBLNMB_00036	mRNA	76				
EHOBLNMB_00036	tRNA	76				tRNA-Val(tac)
EHOBLNMB_00037	gene	76				
EHOBLNMB_00037	mRNA	76				
EHOBLNMB_00037	tRNA	76				tRNA-Gly(gcc)
EHOBLNMB_00038	gene	663	ntpD_1			
EHOBLNMB_00038	mRNA	663	ntpD_1			
EHOBLNMB_00038	CDS	663	ntpD_1			V-type sodium ATPase subunit D
EHOBLNMB_00039	gene	1374	ntpB_1			
EHOBLNMB_00039	mRNA	1374	ntpB_1			
EHOBLNMB_00039	CDS	1374	ntpB_1			V-type sodium ATPase subunit B
EHOBLNMB_00040	gene	1767	ntpA			
EHOBLNMB_00040	mRNA	1767	ntpA			
EHOBLNMB_00040	CDS	1767	ntpA	7.2.2.1		V-type sodium ATPase catalytic subunit A
EHOBLNMB_00041	gene	324	ntpG			
EHOBLNMB_00041	mRNA	324	ntpG			
EHOBLNMB_00041	CDS	324	ntpG			V-type sodium ATPase subunit G
EHOBLNMB_00042	gene	972	ntpC			
EHOBLNMB_00042	mRNA	972	ntpC			
EHOBLNMB_00042	CDS	972	ntpC			V-type sodium ATPase subunit C
EHOBLNMB_00043	gene	582	atpE_1			
EHOBLNMB_00043	mRNA	582	atpE_1			
EHOBLNMB_00043	CDS	582	atpE_1			V-type proton ATPase subunit E
EHOBLNMB_00044	gene	474	ntpK			
EHOBLNMB_00044	mRNA	474	ntpK			
EHOBLNMB_00044	CDS	474	ntpK			V-type sodium ATPase subunit K
EHOBLNMB_00045	gene	1974				
EHOBLNMB_00045	mRNA	1974				
EHOBLNMB_00045	CDS	1974				hypothetical protein
EHOBLNMB_00046	gene	312				
