HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH20.hmm	337	JIEOEPFJ_00029	521	3.7e-101	8	336	116	446	0.973293768545994
GH2.hmm	752	JIEOEPFJ_00065	426	6.4e-38	470	744	13	302	0.36436170212765956
CE9.hmm	373	JIEOEPFJ_00086	386	1.4e-106	1	373	3	381	0.9973190348525469
GT2_Glycos_transf_2.hmm	170	JIEOEPFJ_00097	318	1.2e-30	2	168	6	169	0.9764705882352941
CBM35.hmm	119	JIEOEPFJ_00171	570	4e-16	2	109	208	314	0.8991596638655462
GH27.hmm	229	JIEOEPFJ_00171	570	8.7e-61	34	223	321	542	0.8253275109170306
GH25.hmm	177	JIEOEPFJ_00198	293	7.1e-51	1	177	8	182	0.9943502824858758
GH31.hmm	427	JIEOEPFJ_00249	763	1.4e-105	1	427	232	674	0.9976580796252927
CBM48.hmm	76	JIEOEPFJ_00287	647	8e-18	3	68	45	125	0.8552631578947368
GH13_9.hmm	301	JIEOEPFJ_00287	647	3.7e-158	1	301	196	496	0.9966777408637874
GH20.hmm	337	JIEOEPFJ_00334	519	5.9e-106	8	336	117	456	0.973293768545994
CE4.hmm	130	JIEOEPFJ_00360	311	2.1e-21	6	112	102	206	0.8153846153846154
GH20.hmm	337	JIEOEPFJ_00426	481	3.8e-106	8	336	78	416	0.973293768545994
GH25.hmm	177	JIEOEPFJ_00460	383	2.4e-42	2	177	111	298	0.9887005649717514
GH29.hmm	346	JIEOEPFJ_00551	474	1.6e-83	39	339	13	341	0.8670520231213873
GT2_Glycos_transf_2.hmm	170	JIEOEPFJ_00557	355	5.8e-34	1	131	7	136	0.7647058823529411
GT2_Glycos_transf_2.hmm	170	JIEOEPFJ_00558	352	1.4e-33	1	131	7	135	0.7647058823529411
GH2.hmm	752	JIEOEPFJ_00575	848	2.5e-102	29	590	2	741	0.7460106382978723
GT5.hmm	472	JIEOEPFJ_00633	453	4.3e-170	21	471	1	448	0.9533898305084746
GH123.hmm	538	JIEOEPFJ_00697	472	7.6e-32	106	536	18	468	0.7992565055762082
GH43_35.hmm	294	JIEOEPFJ_00722	492	3.5e-113	1	294	7	338	0.9965986394557823
GH51.hmm	630	JIEOEPFJ_00812	301	8.5e-60	275	544	1	300	0.42698412698412697
CE4.hmm	130	JIEOEPFJ_00814	260	6.8e-32	3	125	51	175	0.9384615384615385
GH20.hmm	337	JIEOEPFJ_00817	503	9.2e-93	8	336	111	429	0.973293768545994
GT35.hmm	674	JIEOEPFJ_00822	325	1.8e-96	422	673	1	259	0.3724035608308605
GT35.hmm	674	JIEOEPFJ_00823	314	6.6e-100	114	391	2	294	0.41097922848664686
GT2_Glycos_transf_2.hmm	170	JIEOEPFJ_00844	338	3.9e-27	1	160	6	163	0.9352941176470588
CE4.hmm	130	JIEOEPFJ_00889	250	1.6e-25	5	114	52	163	0.8384615384615385
GH23.hmm	135	JIEOEPFJ_01051	203	2e-23	17	122	66	190	0.7777777777777778
GH28.hmm	325	JIEOEPFJ_01109	489	2.5e-60	13	307	74	410	0.9046153846153846
GH28.hmm	325	JIEOEPFJ_01167	442	2.3e-70	8	309	30	371	0.9261538461538461
GH27.hmm	229	JIEOEPFJ_01175	427	3.8e-63	12	227	163	404	0.9388646288209607
GT4.hmm	160	JIEOEPFJ_01254	357	5.9e-25	3	147	185	328	0.9
