locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNBIHPMI_00001	gene	1503	mglA_1			
KNBIHPMI_00001	mRNA	1503	mglA_1			
KNBIHPMI_00001	CDS	1503	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
KNBIHPMI_00002	gene	1092	mglC			
KNBIHPMI_00002	mRNA	1092	mglC			
KNBIHPMI_00002	CDS	1092	mglC		COG4211	Galactoside transport system permease protein MglC
KNBIHPMI_00003	gene	375				
KNBIHPMI_00003	mRNA	375				
KNBIHPMI_00003	CDS	375				hypothetical protein
KNBIHPMI_00004	gene	996	gpr			
KNBIHPMI_00004	mRNA	996	gpr			
KNBIHPMI_00004	CDS	996	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
KNBIHPMI_00005	gene	807	rhaS			
KNBIHPMI_00005	mRNA	807	rhaS			
KNBIHPMI_00005	CDS	807	rhaS			HTH-type transcriptional activator RhaS
KNBIHPMI_00006	gene	2067	bglB_1			
KNBIHPMI_00006	mRNA	2067	bglB_1			
KNBIHPMI_00006	CDS	2067	bglB_1	3.2.1.21	COG1472	Thermostable beta-glucosidase B
KNBIHPMI_00007	gene	1314	xylA_1			
KNBIHPMI_00007	mRNA	1314	xylA_1			
KNBIHPMI_00007	CDS	1314	xylA_1	5.3.1.5	COG2115	Xylose isomerase
KNBIHPMI_00008	gene	621	xylB_1			
KNBIHPMI_00008	mRNA	621	xylB_1			
KNBIHPMI_00008	CDS	621	xylB_1	2.7.1.17	COG1070	Xylulose kinase
KNBIHPMI_00009	gene	831	xylB_2			
KNBIHPMI_00009	mRNA	831	xylB_2			
KNBIHPMI_00009	CDS	831	xylB_2	2.7.1.17	COG1070	Xylulose kinase
KNBIHPMI_00010	gene	2499				
KNBIHPMI_00010	mRNA	2499				
KNBIHPMI_00010	CDS	2499				hypothetical protein
KNBIHPMI_00011	gene	1452	xylA_2			
KNBIHPMI_00011	mRNA	1452	xylA_2			
KNBIHPMI_00011	CDS	1452	xylA_2			Xylosidase/arabinosidase
KNBIHPMI_00012	gene	1323	bglA			
KNBIHPMI_00012	mRNA	1323	bglA			
KNBIHPMI_00012	CDS	1323	bglA	3.2.1.21	COG2723	Beta-glucosidase A
KNBIHPMI_00013	gene	426	xylA_3			
KNBIHPMI_00013	mRNA	426	xylA_3			
KNBIHPMI_00013	CDS	426	xylA_3			Xylosidase/arabinosidase
KNBIHPMI_00014	gene	1710				
KNBIHPMI_00014	mRNA	1710				
KNBIHPMI_00014	CDS	1710				hypothetical protein
KNBIHPMI_00015	gene	2343				
KNBIHPMI_00015	mRNA	2343				
KNBIHPMI_00015	CDS	2343		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
KNBIHPMI_00016	gene	1719				
KNBIHPMI_00016	mRNA	1719				
