HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2_Glycos_transf_2.hmm	170	PEMMOJCN_00086	467	1.1e-27	1	132	60	215	0.7705882352941177
GT2_Glyco_trans_2_3.hmm	197	PEMMOJCN_00086	467	2.2e-20	1	194	164	389	0.9796954314720813
GT26.hmm	171	PEMMOJCN_00199	238	6.8e-60	2	170	55	221	0.9824561403508771
GT5.hmm	472	PEMMOJCN_00320	272	1.1e-98	117	386	2	270	0.5699152542372882
GH95.hmm	722	PEMMOJCN_00361	584	3.8e-83	216	709	66	557	0.682825484764543
GH112.hmm	715	PEMMOJCN_00362	720	0	1	714	5	716	0.9972027972027973
CE4.hmm	130	PEMMOJCN_00381	306	1.2e-26	4	115	130	262	0.8538461538461538
GH43_24.hmm	246	PEMMOJCN_00418	705	2.9e-47	90	245	2	182	0.6300813008130082
GT28.hmm	157	PEMMOJCN_00423	378	2.4e-26	2	152	206	353	0.9554140127388535
GH73.hmm	128	PEMMOJCN_00432	236	6e-17	2	125	33	165	0.9609375
GH13_39.hmm	316	PEMMOJCN_00571	626	2.1e-127	1	315	183	513	0.9936708860759493
GH16_24.hmm	241	PEMMOJCN_00720	429	4.4e-83	2	241	47	288	0.991701244813278
GT1.hmm	382	PEMMOJCN_00859	392	4.5e-50	5	380	10	388	0.981675392670157
GT4.hmm	160	PEMMOJCN_01062	470	1e-31	7	155	205	353	0.925
GT2_Glycos_transf_2.hmm	170	PEMMOJCN_01101	281	1.2e-33	1	132	8	137	0.7705882352941177
GH3.hmm	216	PEMMOJCN_01281	166	1e-31	98	216	1	126	0.5462962962962963
GH13_31.hmm	349	PEMMOJCN_01292	460	9.2e-122	70	348	1	282	0.7965616045845272
GH2.hmm	752	PEMMOJCN_01310	586	8.1e-96	347	750	1	470	0.535904255319149
GH32.hmm	293	PEMMOJCN_01324	491	3.7e-93	1	293	29	339	0.9965870307167235
GH65.hmm	372	PEMMOJCN_01420	496	4.1e-141	1	370	50	427	0.9919354838709677
CE1.hmm	227	PEMMOJCN_01421	462	5.5e-28	8	215	211	446	0.9118942731277533
GH3.hmm	216	PEMMOJCN_01785	205	3.4e-39	63	215	1	162	0.7037037037037037
GT111.hmm	217	PEMMOJCN_01808	256	3.8e-82	1	217	5	221	0.9953917050691244
GT2_Glycos_transf_2.hmm	170	PEMMOJCN_02142	325	1.5e-38	1	133	7	142	0.7764705882352941
