locus_tag	ftype	length_bp	gene	EC_number	COG	product
FNOGCKNG_00001	gene	315				
FNOGCKNG_00001	mRNA	315				
FNOGCKNG_00001	CDS	315				hypothetical protein
FNOGCKNG_00002	gene	762	glnQ_1			
FNOGCKNG_00002	mRNA	762	glnQ_1			
FNOGCKNG_00002	CDS	762	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
FNOGCKNG_00003	gene	1566				
FNOGCKNG_00003	mRNA	1566				
FNOGCKNG_00003	CDS	1566				hypothetical protein
FNOGCKNG_00004	gene	252	rplGB			
FNOGCKNG_00004	mRNA	252	rplGB			
FNOGCKNG_00004	CDS	252	rplGB		COG1358	Ribosome-associated protein L7Ae-like protein
FNOGCKNG_00005	gene	384	rpsL			
FNOGCKNG_00005	mRNA	384	rpsL			
FNOGCKNG_00005	CDS	384	rpsL			30S ribosomal protein S12
FNOGCKNG_00006	gene	471	rpsG			
FNOGCKNG_00006	mRNA	471	rpsG			
FNOGCKNG_00006	CDS	471	rpsG			30S ribosomal protein S7
FNOGCKNG_00007	gene	2085	fusA			
FNOGCKNG_00007	mRNA	2085	fusA			
FNOGCKNG_00007	CDS	2085	fusA		COG0480	Elongation factor G
FNOGCKNG_00008	gene	1188	tufA			
FNOGCKNG_00008	mRNA	1188	tufA			
FNOGCKNG_00008	CDS	1188	tufA		COG0050	Elongation factor Tu
FNOGCKNG_00009	gene	150	rpmG2			
FNOGCKNG_00009	mRNA	150	rpmG2			
FNOGCKNG_00009	CDS	150	rpmG2			50S ribosomal protein L33 2
FNOGCKNG_00010	gene	216	secE			
FNOGCKNG_00010	mRNA	216	secE			
FNOGCKNG_00010	CDS	216	secE			Protein translocase subunit SecE
FNOGCKNG_00011	gene	534	nusG			
FNOGCKNG_00011	mRNA	534	nusG			
FNOGCKNG_00011	CDS	534	nusG			Transcription termination/antitermination protein NusG
FNOGCKNG_00012	gene	426	rplK			
FNOGCKNG_00012	mRNA	426	rplK			
FNOGCKNG_00012	CDS	426	rplK			50S ribosomal protein L11
FNOGCKNG_00013	gene	702	rplA			
FNOGCKNG_00013	mRNA	702	rplA			
FNOGCKNG_00013	CDS	702	rplA			50S ribosomal protein L1
FNOGCKNG_00014	gene	528	rplJ			
FNOGCKNG_00014	mRNA	528	rplJ			
FNOGCKNG_00014	CDS	528	rplJ			50S ribosomal protein L10
FNOGCKNG_00015	gene	372	rplL			
FNOGCKNG_00015	mRNA	372	rplL			
FNOGCKNG_00015	CDS	372	rplL			50S ribosomal protein L7/L12
FNOGCKNG_00016	gene	2118	rpoB_1			
FNOGCKNG_00016	mRNA	2118	rpoB_1			
FNOGCKNG_00016	CDS	2118	rpoB_1	2.7.7.6		DNA-directed RNA polymerase subunit beta
FNOGCKNG_00017	gene	1590	rpoB_2			
FNOGCKNG_00017	mRNA	1590	rpoB_2			
FNOGCKNG_00017	CDS	1590	rpoB_2	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
FNOGCKNG_00018	gene	4002	rpoC			
FNOGCKNG_00018	mRNA	4002	rpoC			
FNOGCKNG_00018	CDS	4002	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
FNOGCKNG_00019	gene	498	purE			
FNOGCKNG_00019	mRNA	498	purE			
FNOGCKNG_00019	CDS	498	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
FNOGCKNG_00020	gene	1464	purF			
FNOGCKNG_00020	mRNA	1464	purF			
FNOGCKNG_00020	CDS	1464	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
FNOGCKNG_00021	gene	1071	purM			
FNOGCKNG_00021	mRNA	1071	purM			
FNOGCKNG_00021	CDS	1071	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
FNOGCKNG_00022	gene	612	purN			
FNOGCKNG_00022	mRNA	612	purN			
FNOGCKNG_00022	CDS	612	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
FNOGCKNG_00023	gene	369	hndB			
FNOGCKNG_00023	mRNA	369	hndB			
FNOGCKNG_00023	CDS	369	hndB	1.12.1.3	COG3411	NADP-reducing hydrogenase subunit HndB
FNOGCKNG_00024	gene	555				
FNOGCKNG_00024	mRNA	555				
