HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT19.hmm	354	FNOGCKNG_00191	378	3.1e-123	1	351	4	356	0.9887005649717514
GT30.hmm	177	FNOGCKNG_00193	658	1.1e-56	12	176	52	216	0.9265536723163842
GT51.hmm	177	FNOGCKNG_00239	276	2.6e-63	10	177	83	250	0.943502824858757
GH73.hmm	128	FNOGCKNG_00258	364	4.9e-18	3	125	188	314	0.953125
GT2_Glycos_transf_2.hmm	170	FNOGCKNG_00291	328	4e-35	1	124	6	127	0.7235294117647059
GT2_Glycos_transf_2.hmm	170	FNOGCKNG_00294	252	5.8e-20	1	115	5	109	0.6705882352941176
GT8.hmm	257	FNOGCKNG_00295	311	1.8e-54	30	256	4	258	0.8793774319066148
CE11.hmm	271	FNOGCKNG_00575	286	2.8e-86	1	270	6	278	0.992619926199262
GH23.hmm	135	FNOGCKNG_00601	201	2.4e-29	10	123	56	189	0.837037037037037
GH3.hmm	216	FNOGCKNG_00667	326	5.2e-49	7	216	68	287	0.9675925925925926
GH25.hmm	177	FNOGCKNG_00690	195	2.4e-41	1	176	5	186	0.9887005649717514
CE4.hmm	130	FNOGCKNG_00739	264	3.3e-32	8	126	68	188	0.9076923076923077
GT101.hmm	224	FNOGCKNG_00792	301	4.5e-78	1	224	50	276	0.9955357142857143
GT2_Glycos_transf_2.hmm	170	FNOGCKNG_00794	251	1.2e-42	1	146	7	146	0.8529411764705882
GT2_Glycos_transf_2.hmm	170	FNOGCKNG_00830	309	8.3e-29	1	167	5	166	0.9764705882352941
GT26.hmm	171	FNOGCKNG_00861	160	1.7e-59	27	170	2	145	0.8362573099415205
GT2_Glyco_tranf_2_3.hmm	230	FNOGCKNG_00864	427	7.1e-30	3	228	46	269	0.9782608695652174
GT9.hmm	225	FNOGCKNG_00898	344	3.7e-66	3	220	79	323	0.9644444444444444
GT83.hmm	540	FNOGCKNG_01015	269	1.4e-30	254	475	2	210	0.40925925925925927
GT28.hmm	157	FNOGCKNG_01320	337	1.4e-51	1	157	159	323	0.9936305732484076
GT28.hmm	157	FNOGCKNG_01492	374	1.8e-23	3	148	209	351	0.9235668789808917
