HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH20.hmm	337	CLIIJIEK_00001	665	2e-69	7	336	146	472	0.9762611275964391
GH92.hmm	491	CLIIJIEK_00002	922	1.3e-127	12	491	403	911	0.9755600814663951
GT2_Glycos_transf_2.hmm	170	CLIIJIEK_00009	320	2.5e-30	1	106	12	116	0.6176470588235294
GT94.hmm	283	CLIIJIEK_00010	339	8.3e-18	3	228	57	284	0.7950530035335689
GT4.hmm	160	CLIIJIEK_00013	420	2.8e-23	6	153	236	383	0.91875
GT2_Glycos_transf_2.hmm	170	CLIIJIEK_00014	254	4.4e-28	1	163	12	166	0.9529411764705882
GH2.hmm	752	CLIIJIEK_00018	808	7.4e-120	28	479	34	593	0.5997340425531915
GH89.hmm	663	CLIIJIEK_00033	503	7.5e-175	163	663	1	498	0.7541478129713424
GH92.hmm	491	CLIIJIEK_00037	775	5.4e-181	2	491	261	756	0.9959266802443992
GH28.hmm	325	CLIIJIEK_00038	466	2.6e-67	6	309	51	401	0.9323076923076923
GH95.hmm	722	CLIIJIEK_00045	809	1.1e-269	4	720	29	798	0.9916897506925207
GH35.hmm	307	CLIIJIEK_00058	783	2.6e-118	1	306	43	355	0.993485342019544
GH51.hmm	630	CLIIJIEK_00059	653	2.1e-99	112	432	202	545	0.5079365079365079
GH43_19.hmm	233	CLIIJIEK_00060	640	1.5e-94	1	233	76	307	0.9957081545064378
GH43_34.hmm	280	CLIIJIEK_00060	640	2.6e-96	1	280	334	632	0.9964285714285714
PL8_3.hmm	249	CLIIJIEK_00062	712	1.1e-103	1	248	341	593	0.9919678714859438
GH105.hmm	332	CLIIJIEK_00068	370	3.9e-84	7	332	46	366	0.9789156626506024
GH2.hmm	752	CLIIJIEK_00069	703	1.2e-94	25	507	21	618	0.6409574468085106
GH110.hmm	548	CLIIJIEK_00070	585	3.6e-229	1	547	16	585	0.9963503649635036
GH13_38.hmm	375	CLIIJIEK_00086	566	4.5e-185	1	375	33	400	0.9973333333333333
PL11_1.hmm	583	CLIIJIEK_00095	692	9.3e-183	18	571	72	691	0.9485420240137221
GT28.hmm	157	CLIIJIEK_00110	376	2.8e-48	1	156	194	354	0.9872611464968153
PL42.hmm	296	CLIIJIEK_00144	425	6.3e-126	1	296	33	325	0.9966216216216216
GH105.hmm	332	CLIIJIEK_00145	769	1.6e-77	6	332	44	370	0.9819277108433735
GH154.hmm	348	CLIIJIEK_00145	769	5.6e-107	1	347	379	740	0.9942528735632183
GH109.hmm	399	CLIIJIEK_00160	378	6.2e-110	4	383	2	373	0.949874686716792
PL8_2.hmm	247	CLIIJIEK_00164	1025	3.8e-80	1	247	618	862	0.9959514170040485
GH43_5.hmm	287	CLIIJIEK_00214	334	1.7e-124	1	287	35	330	0.9965156794425087
GH43_4.hmm	310	CLIIJIEK_00215	629	3.7e-88	1	310	158	518	0.9967741935483871
GH51.hmm	630	CLIIJIEK_00220	659	1.2e-110	110	543	195	656	0.6873015873015873
GH13.hmm	299	CLIIJIEK_00231	617	2.2e-61	12	293	164	485	0.939799331103679
GH97.hmm	631	CLIIJIEK_00232	726	8.5e-259	4	630	11	722	0.9920760697305864
GH13_10.hmm	313	CLIIJIEK_00236	764	6.8e-45	1	150	329	499	0.476038338658147
GT19.hmm	354	CLIIJIEK_00257	383	2.3e-111	2	352	4	357	0.9887005649717514
GH23.hmm	135	CLIIJIEK_00262	421	3.9e-26	3	120	127	260	0.8666666666666667
GT9.hmm	225	CLIIJIEK_00297	345	4.9e-35	3	216	74	321	0.9466666666666667
GT2_Glycos_transf_2.hmm	170	CLIIJIEK_00300	252	1.1e-24	1	133	11	155	0.7764705882352941
GT32.hmm	90	CLIIJIEK_00301	246	7.6e-21	2	87	19	96	0.9444444444444444
GT4.hmm	160	CLIIJIEK_00303	381	1.6e-30	9	158	203	348	0.93125
GT113.hmm	322	CLIIJIEK_00305	339	3.8e-99	9	320	15	337	0.9658385093167702
GT8.hmm	257	CLIIJIEK_00306	318	1.1e-62	28	256	4	258	0.8871595330739299
GT2_Glycos_transf_2.hmm	170	CLIIJIEK_00307	95	4.9e-16	1	79	7	87	0.4588235294117647
GH2.hmm	752	CLIIJIEK_00338	1052	2.3e-197	24	748	77	936	0.9627659574468085
GH43_29.hmm	278	CLIIJIEK_00351	253	3.6e-98	39	278	1	241	0.8597122302158273
GH32.hmm	293	CLIIJIEK_00388	601	1.6e-95	1	290	137	438	0.9863481228668942
GH32.hmm	293	CLIIJIEK_00390	623	3.9e-93	1	291	134	436	0.9897610921501706
GH105.hmm	332	CLIIJIEK_00400	716	5.5e-90	7	331	97	434	0.9759036144578314
CE12.hmm	210	CLIIJIEK_00400	716	1.4e-54	3	210	489	703	0.9857142857142858
PL11_1.hmm	583	CLIIJIEK_00401	637	2.3e-270	2	574	24	628	0.9811320754716981
GH28.hmm	325	CLIIJIEK_00402	479	3.6e-64	9	309	51	397	0.9230769230769231
GH42.hmm	371	CLIIJIEK_00404	690	4.2e-127	2	370	37	411	0.9919137466307277
CBM9.hmm	182	CLIIJIEK_00423	682	1.3e-40	1	180	48	251	0.9835164835164835
GH171.hmm	355	CLIIJIEK_00429	375	2.3e-114	1	355	28	374	0.9971830985915493
GH97.hmm	631	CLIIJIEK_00450	631	1.5e-178	7	630	23	627	0.9873217115689382
GH29.hmm	346	CLIIJIEK_00452	546	2.3e-101	6	346	16	431	0.9826589595375722
GH106.hmm	824	CLIIJIEK_00480	899	5.3e-291	10	823	2	893	0.9866504854368932
GH105.hmm	332	CLIIJIEK_00497	376	4e-90	8	332	57	374	0.9759036144578314
GH28.hmm	325	CLIIJIEK_00498	444	1.4e-56	7	309	77	421	0.9292307692307692
GH146.hmm	503	CLIIJIEK_00506	785	2.6e-213	1	503	33	542	0.9980119284294234
GH92.hmm	491	CLIIJIEK_00519	742	6.4e-178	2	485	257	740	0.9837067209775967
GH130.hmm	296	CLIIJIEK_00520	323	3e-96	1	296	20	318	0.9966216216216216
GH51.hmm	630	CLIIJIEK_00532	512	1e-145	82	542	20	512	0.7301587301587301
GH2.hmm	752	CLIIJIEK_00550	1115	1.3e-208	20	750	67	967	0.9707446808510638
GH92.hmm	491	CLIIJIEK_00551	741	3.4e-182	5	491	249	737	0.9898167006109979
GH92.hmm	491	CLIIJIEK_00552	757	2.1e-185	2	491	230	737	0.9959266802443992
GH92.hmm	491	CLIIJIEK_00554	738	1.1e-195	5	489	240	731	0.9857433808553971
PL30.hmm	712	CLIIJIEK_00583	1025	0	8	712	282	986	0.9887640449438202
GH16_3.hmm	230	CLIIJIEK_00625	269	1.6e-42	3	229	35	266	0.9826086956521739
GT2_Glycos_transf_2.hmm	170	CLIIJIEK_00642	317	5.3e-35	1	168	4	167	0.9823529411764705
GH2.hmm	752	CLIIJIEK_00646	812	2.3e-115	24	555	20	715	0.7061170212765957
GH2.hmm	752	CLIIJIEK_00647	999	4.7e-65	24	465	21	564	0.586436170212766
CE11.hmm	271	CLIIJIEK_00688	461	1.1e-74	1	220	4	224	0.8081180811808119
CE4.hmm	130	CLIIJIEK_00765	203	8.8e-26	5	117	22	125	0.8615384615384616
GH88.hmm	329	CLIIJIEK_00781	410	8.5e-127	6	328	72	395	0.9787234042553191
PL8_2.hmm	247	CLIIJIEK_00782	944	1.5e-86	1	247	566	799	0.9959514170040485
GH43_19.hmm	233	CLIIJIEK_00785	576	1.7e-79	1	233	285	539	0.9957081545064378
GH28.hmm	325	CLIIJIEK_00786	481	1.7e-31	68	306	198	443	0.7323076923076923
GH30_2.hmm	417	CLIIJIEK_00787	496	5.4e-174	2	416	56	491	0.9928057553956835
GH97.hmm	631	CLIIJIEK_00788	645	1e-163	9	630	18	626	0.9841521394611727
GH43_10.hmm	271	CLIIJIEK_00789	550	1.9e-110	1	271	38	308	0.996309963099631
PL8_2.hmm	247	CLIIJIEK_00841	805	6.8e-48	1	247	391	656	0.9959514170040485
PL29.hmm	301	CLIIJIEK_00842	773	2.6e-104	2	301	270	599	0.9933554817275747
PL29.hmm	301	CLIIJIEK_00843	756	1.8e-85	1	301	255	591	0.9966777408637874
GH3.hmm	216	CLIIJIEK_00847	989	9.8e-57	4	215	103	323	0.9768518518518519
GH123.hmm	538	CLIIJIEK_00861	207	4.3e-78	336	537	1	205	0.3736059479553903
GT2_Glycos_transf_2.hmm	170	CLIIJIEK_00874	331	1.3e-28	1	132	6	133	0.7705882352941177
GT32.hmm	90	CLIIJIEK_00882	317	2.6e-20	3	85	99	176	0.9111111111111111
GH97.hmm	631	CLIIJIEK_00893	232	7.9e-70	400	627	1	229	0.35974643423137875
GT30.hmm	177	CLIIJIEK_00902	406	2.7e-48	5	176	33	205	0.9661016949152542
GT4.hmm	160	CLIIJIEK_00911	373	1.8e-35	7	157	193	344	0.9375
GT4.hmm	160	CLIIJIEK_00912	411	7e-20	8	151	241	374	0.89375
GT4.hmm	160	CLIIJIEK_00913	134	2.3e-29	55	155	2	101	0.625
GH88.hmm	329	CLIIJIEK_00946	201	6.4e-77	138	329	1	190	0.5805471124620061
GH2.hmm	752	CLIIJIEK_01022	1037	2.2e-224	16	747	49	906	0.9720744680851063
GH77.hmm	494	CLIIJIEK_01054	669	6.1e-157	1	489	19	663	0.9878542510121457
GH35.hmm	307	CLIIJIEK_01095	778	2.2e-84	3	305	60	423	0.9837133550488599
GH35.hmm	307	CLIIJIEK_01111	657	9.1e-88	1	305	19	364	0.990228013029316
GT2_Glycos_transf_2.hmm	170	CLIIJIEK_01115	340	2.2e-23	2	132	6	133	0.7647058823529411
GT3.hmm	637	CLIIJIEK_01148	557	1.1e-123	1	347	12	347	0.543171114599686
GT35.hmm	674	CLIIJIEK_01149	855	1e-119	208	629	270	707	0.6246290801186943
GT51.hmm	177	CLIIJIEK_01220	231	7.1e-52	11	176	55	219	0.9322033898305084
CE1.hmm	227	CLIIJIEK_01226	398	8.4e-62	1	222	156	395	0.973568281938326
GH92.hmm	491	CLIIJIEK_01230	759	1.2e-164	2	491	247	748	0.9959266802443992
GH31.hmm	427	CLIIJIEK_01256	824	7.5e-129	1	427	218	712	0.9976580796252927
GH13_10.hmm	313	CLIIJIEK_01290	667	1.6e-47	1	204	230	452	0.6485623003194888
GH29.hmm	346	CLIIJIEK_01307	440	1.1e-105	28	346	32	357	0.9190751445086706
GH29.hmm	346	CLIIJIEK_01319	627	1e-81	32	335	28	347	0.8757225433526011
PL42.hmm	296	CLIIJIEK_01352	412	5.9e-126	1	296	21	313	0.9966216216216216
GH20.hmm	337	CLIIJIEK_01376	402	1.5e-62	135	336	6	209	0.5964391691394659
GH29.hmm	346	CLIIJIEK_01391	597	3.4e-67	114	346	1	236	0.6705202312138728
GH73.hmm	128	CLIIJIEK_01403	296	5.7e-37	3	128	38	166	0.9765625
GT2_Glycos_transf_2.hmm	170	CLIIJIEK_01484	248	1.2e-31	2	168	8	174	0.9764705882352941
