Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
CLIIJIEK_00001	GH20(146-472)	-	-	1
CLIIJIEK_00002	GH92(403-911)	-	-	1
CLIIJIEK_00009	GT2_Glycos_transf_2(12-116)	-	-	1
CLIIJIEK_00010	GT94(57-284)	-	-	1
CLIIJIEK_00013	GT4(236-383)	-	-	1
CLIIJIEK_00014	GT2_Glycos_transf_2(12-166)	-	-	1
CLIIJIEK_00018	GH2(34-593)	-	-	1
CLIIJIEK_00033	GH89(1-498)	-	-	1
CLIIJIEK_00037	GH92(261-756)	-	-	1
CLIIJIEK_00038	GH28(51-401)	-	-	1
CLIIJIEK_00045	GH95(29-798)	-	-	1
CLIIJIEK_00058	GH35(43-355)	-	-	1
CLIIJIEK_00059	GH51(202-545)	-	-	1
CLIIJIEK_00060	GH43_19(76-307)+GH43_34(334-632)	-	-	1
CLIIJIEK_00062	PL8_3(341-593)	-	-	1
CLIIJIEK_00068	GH105(46-366)	-	-	1
CLIIJIEK_00069	GH2(21-618)	-	-	1
CLIIJIEK_00070	GH110(16-585)	-	-	1
CLIIJIEK_00086	GH13_38(33-400)	-	-	1
CLIIJIEK_00095	PL11_1(72-691)	-	-	1
CLIIJIEK_00110	GT28(194-354)	-	-	1
CLIIJIEK_00144	PL42(33-325)	-	-	1
CLIIJIEK_00145	GH105(44-370)+GH154(379-740)	-	-	1
CLIIJIEK_00160	GH109(2-373)	-	-	1
CLIIJIEK_00164	PL8_2(618-862)	-	-	1
CLIIJIEK_00214	GH43_5(35-330)	-	-	1
CLIIJIEK_00215	GH43_4(158-518)	-	-	1
CLIIJIEK_00220	GH51(195-656)	-	-	1
CLIIJIEK_00231	GH13(164-485)	-	-	1
CLIIJIEK_00232	GH97(11-722)	-	-	1
CLIIJIEK_00236	GH13_10(329-499)	-	-	1
CLIIJIEK_00257	GT19(4-357)	-	-	1
CLIIJIEK_00262	GH23(127-260)	-	-	1
CLIIJIEK_00297	GT9(74-321)	-	-	1
CLIIJIEK_00300	GT2_Glycos_transf_2(11-155)	-	-	1
CLIIJIEK_00301	GT32(19-96)	-	-	1
CLIIJIEK_00303	GT4(203-348)	-	-	1
CLIIJIEK_00305	GT113(15-337)	-	-	1
CLIIJIEK_00306	GT8(4-258)	-	-	1
CLIIJIEK_00307	GT2_Glycos_transf_2(7-87)	-	-	1
CLIIJIEK_00338	GH2(77-936)	-	-	1
CLIIJIEK_00351	GH43_29(1-241)	-	-	1
CLIIJIEK_00388	GH32(137-438)	-	-	1
CLIIJIEK_00390	GH32(134-436)	-	-	1
CLIIJIEK_00400	GH105(97-434)+CE12(489-703)	-	-	1
CLIIJIEK_00401	PL11_1(24-628)	-	-	1
CLIIJIEK_00402	GH28(51-397)	-	-	1
CLIIJIEK_00404	GH42(37-411)	-	-	1
CLIIJIEK_00423	CBM9(48-251)	-	-	1
CLIIJIEK_00429	GH171(28-374)	-	-	1
CLIIJIEK_00450	GH97(23-627)	-	-	1
CLIIJIEK_00452	GH29(16-431)	-	-	1
CLIIJIEK_00480	GH106(2-893)	-	-	1
CLIIJIEK_00497	GH105(57-374)	-	-	1
CLIIJIEK_00498	GH28(77-421)	-	-	1
CLIIJIEK_00506	GH146(33-542)	-	-	1
CLIIJIEK_00519	GH92(257-740)	-	-	1
CLIIJIEK_00520	GH130(20-318)	-	-	1
CLIIJIEK_00532	GH51(20-512)	-	-	1
CLIIJIEK_00550	GH2(67-967)	-	-	1
CLIIJIEK_00551	GH92(249-737)	-	-	1
CLIIJIEK_00552	GH92(230-737)	-	-	1
CLIIJIEK_00554	GH92(240-731)	-	-	1
CLIIJIEK_00583	PL30(282-986)	-	-	1
CLIIJIEK_00625	GH16_3(35-266)	-	-	1
CLIIJIEK_00642	GT2_Glycos_transf_2(4-167)	-	-	1
CLIIJIEK_00646	GH2(20-715)	-	-	1
CLIIJIEK_00647	GH2(21-564)	-	-	1
CLIIJIEK_00688	CE11(4-224)	-	-	1
CLIIJIEK_00765	CE4(22-125)	-	-	1
CLIIJIEK_00781	GH88(72-395)	-	-	1
CLIIJIEK_00782	PL8_2(566-799)	-	-	1
CLIIJIEK_00785	GH43_19(285-539)	-	-	1
CLIIJIEK_00786	GH28(198-443)	-	-	1
CLIIJIEK_00787	GH30_2(56-491)	-	-	1
CLIIJIEK_00788	GH97(18-626)	-	-	1
CLIIJIEK_00789	GH43_10(38-308)	-	-	1
CLIIJIEK_00841	PL8_2(391-656)	-	-	1
CLIIJIEK_00842	PL29(270-599)	-	-	1
CLIIJIEK_00843	PL29(255-591)	-	-	1
CLIIJIEK_00847	GH3(103-323)	-	-	1
CLIIJIEK_00861	GH123(1-205)	-	-	1
CLIIJIEK_00874	GT2_Glycos_transf_2(6-133)	-	-	1
CLIIJIEK_00882	GT32(99-176)	-	-	1
CLIIJIEK_00893	GH97(1-229)	-	-	1
CLIIJIEK_00902	GT30(33-205)	-	-	1
CLIIJIEK_00911	GT4(193-344)	-	-	1
CLIIJIEK_00912	GT4(241-374)	-	-	1
CLIIJIEK_00913	GT4(2-101)	-	-	1
CLIIJIEK_00946	GH88(1-190)	-	-	1
CLIIJIEK_01022	GH2(49-906)	-	-	1
CLIIJIEK_01054	GH77(19-663)	-	-	1
CLIIJIEK_01095	GH35(60-423)	-	-	1
CLIIJIEK_01111	GH35(19-364)	-	-	1
CLIIJIEK_01115	GT2_Glycos_transf_2(6-133)	-	-	1
CLIIJIEK_01148	GT3(12-347)	-	-	1
CLIIJIEK_01149	GT35(270-707)	-	-	1
CLIIJIEK_01220	GT51(55-219)	-	-	1
CLIIJIEK_01226	CE1(156-395)	-	-	1
CLIIJIEK_01230	GH92(247-748)	-	-	1
CLIIJIEK_01256	GH31(218-712)	-	-	1
CLIIJIEK_01290	GH13_10(230-452)	-	-	1
CLIIJIEK_01307	GH29(32-357)	-	-	1
CLIIJIEK_01319	GH29(28-347)	-	-	1
CLIIJIEK_01352	PL42(21-313)	-	-	1
CLIIJIEK_01376	GH20(6-209)	-	-	1
CLIIJIEK_01391	GH29(1-236)	-	-	1
CLIIJIEK_01403	GH73(38-166)	-	-	1
CLIIJIEK_01484	GT2_Glycos_transf_2(8-174)	-	-	1
