Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
MKAAFLNM_00008	GT4(218-367)	-	-	1
MKAAFLNM_00009	GT4(201-346)	-	-	1
MKAAFLNM_00011	GT4(226-384)	-	-	1
MKAAFLNM_00015	GT4(187-316)	-	-	1
MKAAFLNM_00016	GT4(199-337)	-	-	1
MKAAFLNM_00018	GT2_Glycos_transf_2(4-138)	-	-	1
MKAAFLNM_00033	GH43_33(34-350)	-	-	1
MKAAFLNM_00034	GH2(23-582)	-	-	1
MKAAFLNM_00039	GH5_4(166-449)	-	-	1
MKAAFLNM_00040	GH97(13-687)	-	-	1
MKAAFLNM_00041	GH2(50-576)+GH2(781-1124)	-	-	1
MKAAFLNM_00042	GH42(34-398)	-	-	1
MKAAFLNM_00043	GH2(45-915)	-	-	1
MKAAFLNM_00044	GH29(21-421)	-	-	1
MKAAFLNM_00045	GH31(222-695)	-	-	1
MKAAFLNM_00046	GH43_16(496-806)+CBM6(831-946)	-	-	1
MKAAFLNM_00055	GH43_28(172-437)+CBM32(479-589)	-	-	1
MKAAFLNM_00059	GT11(26-291)	-	-	1
MKAAFLNM_00060	GT2_Glycos_transf_2(10-139)	-	-	1
MKAAFLNM_00061	GT4(202-349)	-	-	1
MKAAFLNM_00062	GT2_Glyco_tranf_2_5(3-208)	-	-	1
MKAAFLNM_00066	GT2_Glycos_transf_2(11-145)	-	-	1
MKAAFLNM_00073	GT9(69-307)	-	-	1
MKAAFLNM_00074	GT2_Glycos_transf_2(12-136)	-	-	1
MKAAFLNM_00078	GT4(205-346)	-	-	1
MKAAFLNM_00094	GH88(70-393)	-	-	1
MKAAFLNM_00110	GT2_Glycos_transf_2(8-131)	-	-	1
MKAAFLNM_00114	GT4(216-354)	-	-	1
MKAAFLNM_00117	GT2_Glycos_transf_2(5-167)	-	-	1
MKAAFLNM_00118	GT4(178-336)	-	-	1
MKAAFLNM_00121	GT26(49-220)	-	-	1
MKAAFLNM_00174	GH29(24-357)	-	-	1
MKAAFLNM_00185	GH9(115-588)+CE4(617-749)	-	-	1
MKAAFLNM_00197	GH32(247-546)	-	-	1
MKAAFLNM_00198	GH32(42-334)	-	-	1
MKAAFLNM_00200	GH32(143-437)	-	-	1
MKAAFLNM_00225	GH13_10(431-629)	-	-	1
MKAAFLNM_00226	GH13(44-329)	-	-	1
MKAAFLNM_00231	GH2(20-617)	-	-	1
MKAAFLNM_00232	GH53(46-371)	-	-	1
MKAAFLNM_00233	GH53(27-358)	-	-	1
MKAAFLNM_00240	GH65(322-700)	-	-	1
MKAAFLNM_00314	GH18(59-366)	-	-	1
