HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4.hmm	160	MKAAFLNM_00008	393	3.5e-24	10	159	218	367	0.93125
GT4.hmm	160	MKAAFLNM_00009	389	5.3e-29	5	152	201	346	0.91875
GT4.hmm	160	MKAAFLNM_00011	419	6.4e-25	8	153	226	384	0.90625
GT4.hmm	160	MKAAFLNM_00015	391	3.8e-21	12	139	187	316	0.79375
GT4.hmm	160	MKAAFLNM_00016	386	5.3e-24	11	150	199	337	0.86875
GT2_Glycos_transf_2.hmm	170	MKAAFLNM_00018	262	5.2e-28	1	138	4	138	0.8058823529411765
GH43_33.hmm	315	MKAAFLNM_00033	366	2.7e-137	2	315	34	350	0.9936507936507937
GH2.hmm	752	MKAAFLNM_00034	665	4.7e-93	28	499	23	582	0.6263297872340425
GH5_4.hmm	276	MKAAFLNM_00039	480	5.9e-83	1	274	166	449	0.9891304347826086
GH97.hmm	631	MKAAFLNM_00040	690	1.9e-197	4	630	13	687	0.9920760697305864
GH2.hmm	752	MKAAFLNM_00041	1241	2.7e-136	23	471	50	576	0.5957446808510638
GH2.hmm	752	MKAAFLNM_00041	1241	1.3e-56	464	748	781	1124	0.3776595744680851
GH42.hmm	371	MKAAFLNM_00042	686	1.7e-114	2	370	34	398	0.9919137466307277
GH2.hmm	752	MKAAFLNM_00043	1035	1.3e-213	21	751	45	915	0.9707446808510638
GH29.hmm	346	MKAAFLNM_00044	538	1.3e-96	16	346	21	421	0.953757225433526
GH31.hmm	427	MKAAFLNM_00045	796	3.7e-143	1	427	222	695	0.9976580796252927
GH43_16.hmm	311	MKAAFLNM_00046	946	8.4e-113	2	308	496	806	0.9839228295819936
CBM6.hmm	138	MKAAFLNM_00046	946	1.2e-16	16	138	831	946	0.8840579710144928
GH43_28.hmm	262	MKAAFLNM_00055	699	1.6e-111	1	262	172	437	0.9961832061068703
CBM32.hmm	124	MKAAFLNM_00055	699	5.5e-21	11	107	479	589	0.7741935483870968
GT11.hmm	276	MKAAFLNM_00059	303	1.3e-32	3	258	26	291	0.9239130434782609
GT2_Glycos_transf_2.hmm	170	MKAAFLNM_00060	323	7.3e-35	1	132	10	139	0.7705882352941177
GT4.hmm	160	MKAAFLNM_00061	379	1.8e-30	7	156	202	349	0.93125
GT2_Glyco_tranf_2_5.hmm	210	MKAAFLNM_00062	291	2.1e-36	1	186	3	208	0.8809523809523809
GT2_Glycos_transf_2.hmm	170	MKAAFLNM_00066	336	8.3e-37	1	133	11	145	0.7764705882352941
GT9.hmm	225	MKAAFLNM_00073	332	2.9e-36	3	217	69	307	0.9511111111111111
GT2_Glycos_transf_2.hmm	170	MKAAFLNM_00074	305	1.5e-17	1	131	12	136	0.7647058823529411
GT4.hmm	160	MKAAFLNM_00078	381	1.4e-31	9	155	205	346	0.9125
GH88.hmm	329	MKAAFLNM_00094	399	5.6e-131	6	328	70	393	0.9787234042553191
GT2_Glycos_transf_2.hmm	170	MKAAFLNM_00110	339	6.4e-38	1	126	8	131	0.7352941176470589
GT4.hmm	160	MKAAFLNM_00114	392	4.2e-27	12	152	216	354	0.875
GT2_Glycos_transf_2.hmm	170	MKAAFLNM_00117	318	1.2e-35	1	166	5	167	0.9705882352941176
GT4.hmm	160	MKAAFLNM_00118	369	1.8e-30	5	159	178	336	0.9625
GT26.hmm	171	MKAAFLNM_00121	239	3.1e-55	4	171	49	220	0.9766081871345029
GH29.hmm	346	MKAAFLNM_00174	441	5.2e-106	22	346	24	357	0.9364161849710982
GH9.hmm	418	MKAAFLNM_00185	836	1e-77	2	417	115	588	0.992822966507177
CE4.hmm	130	MKAAFLNM_00185	836	2.9e-17	5	125	617	749	0.9230769230769231
GH32.hmm	293	MKAAFLNM_00197	711	4.1e-64	1	293	247	546	0.9965870307167235
GH32.hmm	293	MKAAFLNM_00198	494	9.3e-68	1	293	42	334	0.9965870307167235
GH32.hmm	293	MKAAFLNM_00200	604	7.3e-102	1	288	143	437	0.9795221843003413
GH13_10.hmm	313	MKAAFLNM_00225	859	1.1e-45	1	181	431	629	0.5750798722044729
GH13.hmm	299	MKAAFLNM_00226	441	1.3e-49	6	290	44	329	0.9498327759197325
GH2.hmm	752	MKAAFLNM_00231	825	2.8e-117	25	475	20	617	0.598404255319149
GH53.hmm	342	MKAAFLNM_00232	391	1.1e-101	2	310	46	371	0.9005847953216374
GH53.hmm	342	MKAAFLNM_00233	369	2.2e-93	3	340	27	358	0.9853801169590644
GH65.hmm	372	MKAAFLNM_00240	772	1.9e-134	1	369	322	700	0.989247311827957
GH18.hmm	296	MKAAFLNM_00314	375	2.6e-62	28	288	59	366	0.8783783783783784
CE1.hmm	227	MKAAFLNM_00370	256	2e-26	8	208	36	236	0.8810572687224669
CBM32.hmm	124	MKAAFLNM_00371	348	5e-20	10	121	127	250	0.8951612903225806
GH43_28.hmm	262	MKAAFLNM_00372	214	4.9e-55	1	161	52	214	0.6106870229007634
GH29.hmm	346	MKAAFLNM_00373	561	1.4e-87	21	346	82	467	0.9393063583815029
GH144.hmm	404	MKAAFLNM_00376	437	1e-194	2	404	25	430	0.995049504950495
GH144.hmm	404	MKAAFLNM_00377	546	2.3e-193	3	403	141	541	0.9900990099009901
GH2.hmm	752	MKAAFLNM_00381	883	2.4e-106	26	483	21	598	0.6077127659574468
