HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4.hmm	160	BDMCONLN_00303	430	2e-43	7	160	207	360	0.95625
GH57.hmm	383	BDMCONLN_00305	532	2.3e-77	2	304	10	423	0.7885117493472585
GT2_Glycos_transf_2.hmm	170	BDMCONLN_00306	323	2.7e-36	1	167	10	172	0.9764705882352941
CE4.hmm	130	BDMCONLN_00327	262	2e-31	4	126	54	189	0.9384615384615385
GH133.hmm	372	BDMCONLN_00332	673	7.3e-105	11	372	301	666	0.9704301075268817
GT4.hmm	160	BDMCONLN_00353	390	2.4e-39	5	152	212	358	0.91875
GH109.hmm	399	BDMCONLN_00358	359	6e-26	7	191	2	175	0.46115288220551376
GT2_Glyco_tranf_2_3.hmm	230	BDMCONLN_00367	416	7.6e-26	2	230	45	270	0.991304347826087
CE4.hmm	130	BDMCONLN_00437	240	4.7e-31	6	126	77	199	0.9230769230769231
GH15.hmm	361	BDMCONLN_00551	645	1.6e-63	3	359	270	643	0.9861495844875346
GT28.hmm	157	BDMCONLN_00730	371	1.3e-50	2	156	193	358	0.9808917197452229
GH73.hmm	128	BDMCONLN_00761	407	6.3e-17	2	123	281	400	0.9453125
GT84.hmm	215	BDMCONLN_00857	2701	3.7e-91	1	215	1167	1381	0.9953488372093023
GH94.hmm	1036	BDMCONLN_00857	2701	0	1	1030	1619	2693	0.9932432432432432
GH18.hmm	296	BDMCONLN_00956	561	1.2e-45	23	279	257	547	0.8648648648648649
GT51.hmm	177	BDMCONLN_00979	884	2.8e-52	10	176	99	275	0.9378531073446328
GT2_Glycos_transf_2.hmm	170	BDMCONLN_01027	881	3.6e-36	1	152	7	156	0.888235294117647
GT51.hmm	177	BDMCONLN_01089	239	1.3e-57	5	177	44	217	0.9717514124293786
GT35.hmm	674	BDMCONLN_01091	856	3.1e-139	20	647	123	751	0.93026706231454
GT28.hmm	157	BDMCONLN_01176	342	4.7e-24	2	152	176	320	0.9554140127388535
GT28.hmm	157	BDMCONLN_01303	374	2.9e-31	2	156	207	363	0.9808917197452229
GH23.hmm	135	BDMCONLN_01316	182	2.5e-29	16	125	51	179	0.8074074074074075
GT51.hmm	177	BDMCONLN_01374	230	8.6e-63	7	176	45	213	0.9548022598870056
CBM25.hmm	78	BDMCONLN_01392	152	1.2e-22	2	77	19	94	0.9615384615384616
GH25.hmm	177	BDMCONLN_01543	353	1.5e-52	1	177	40	214	0.9943502824858758
